Abbreviation,VARIABLE,International_Destination,Year,Value
NOR,SWE,Sweden,2011,1631000
NOR,SWE,Sweden,2012,1789000
NOR,SWE,Sweden,2013,1770000
NOR,SWE,Sweden,2014,1478000
NOR,SWE,Sweden,2015,1535000
NOR,SWE,Sweden,2016,1223000
NOR,SWE,Sweden,2017,1363000
NOR,SWE,Sweden,2018,1361000
NOR,SWE,Sweden,2019,1918000
NOR,SWE,Sweden,2020,239000
NOR,SWE,Sweden,2021,587000
NOR,GBR,United Kingdom,2008,560000
NOR,GBR,United Kingdom,2009,476000
NOR,GBR,United Kingdom,2010,495000
NOR,GBR,United Kingdom,2011,551000
NOR,GBR,United Kingdom,2012,680000
NOR,GBR,United Kingdom,2013,777000
NOR,GBR,United Kingdom,2014,676000
NOR,GBR,United Kingdom,2015,674000
NOR,GBR,United Kingdom,2016,655000
NOR,GBR,United Kingdom,2017,573000
NOR,GBR,United Kingdom,2018,638000
NOR,GBR,United Kingdom,2019,661000
NOR,GBR,United Kingdom,2020,166000
NOR,GBR,United Kingdom,2021,79000
ESP,DEU,Germany,2008,552568
ESP,DEU,Germany,2009,611440
ESP,DEU,Germany,2010,621366
ESP,DEU,Germany,2011,765592
ESP,DEU,Germany,2012,657078
ESP,DEU,Germany,2013,637760
ESP,DEU,Germany,2014,688463
ESP,DEU,Germany,2015,891040
ESP,DEU,Germany,2016,804012
ESP,DEU,Germany,2017,803045
ESP,DEU,Germany,2018,947649.457
ESP,DEU,Germany,2019,1038628
ESP,DEU,Germany,2020,216854
ESP,DEU,Germany,2021,288732
BRA,FRA,France,2008,376885
BRA,FRA,France,2009,372550
BRA,FRA,France,2010,383215
BRA,FRA,France,2011,421976
BRA,FRA,France,2012,500550
BRA,FRA,France,2013,520578
BRA,FRA,France,2014,481035
BRA,FRA,France,2015,257720
BRA,FRA,France,2016,363985
BRA,FRA,France,2017,418709
PER,ECU,Ecuador,2008,154998
PER,ECU,Ecuador,2009,152226
PER,ECU,Ecuador,2010,156947
PER,ECU,Ecuador,2011,144228
PER,ECU,Ecuador,2012,137470
PER,ECU,Ecuador,2013,147184
PER,ECU,Ecuador,2014,161176
PER,ECU,Ecuador,2015,154091
PER,ECU,Ecuador,2016,135548
PER,ECU,Ecuador,2017,132198
PER,ECU,Ecuador,2018,141580
PER,ECU,Ecuador,2019,137873
PER,ECU,Ecuador,2020,33545
PER,ECU,Ecuador,2021,7188
PER,ARG,Argentina,2008,66896
PER,ARG,Argentina,2009,77778
PER,ARG,Argentina,2010,86038
PER,ARG,Argentina,2011,88495
PER,ARG,Argentina,2012,72138
PER,ARG,Argentina,2013,70142
PER,ARG,Argentina,2014,78846
PER,ARG,Argentina,2015,73114
PER,ARG,Argentina,2016,77513
PER,ARG,Argentina,2017,100485
PER,ARG,Argentina,2018,109182
PER,ARG,Argentina,2019,99227
PER,ARG,Argentina,2020,23551
PER,ARG,Argentina,2021,7369
PER,BOL,Bolivia,2008,345763
PER,BOL,Bolivia,2009,309008
PER,BOL,Bolivia,2010,347591
PER,BOL,Bolivia,2011,307892
PER,BOL,Bolivia,2012,341184
PER,BOL,Bolivia,2013,318076
PER,BOL,Bolivia,2014,314687
PER,BOL,Bolivia,2015,289675
PER,BOL,Bolivia,2016,269883
PER,BOL,Bolivia,2017,251287
PER,BOL,Bolivia,2018,284052
PER,BOL,Bolivia,2019,291241
PER,BOL,Bolivia,2020,69699
PER,BOL,Bolivia,2021,4473
PER,BRA,Brazil,2008,48260
PER,BRA,Brazil,2009,54887
PER,BRA,Brazil,2010,62661
PER,BRA,Brazil,2011,77389
PER,BRA,Brazil,2012,79154
PER,BRA,Brazil,2013,83035
PER,BRA,Brazil,2014,87142
PER,BRA,Brazil,2015,94116
PER,BRA,Brazil,2016,83088
PER,BRA,Brazil,2017,88915
PER,BRA,Brazil,2018,111369
PER,BRA,Brazil,2019,124620
PER,BRA,Brazil,2020,32409
PER,BRA,Brazil,2021,6094
PER,CHL,Chile,2008,812745
PER,CHL,Chile,2009,784135
PER,CHL,Chile,2010,868120
PER,CHL,Chile,2011,958154
PER,CHL,Chile,2012,1058615
PER,CHL,Chile,2013,1089175
PER,CHL,Chile,2014,1091195
PER,CHL,Chile,2015,1181401
PER,CHL,Chile,2016,1288121
PER,CHL,Chile,2017,1358528
PER,CHL,Chile,2018,1373257
PER,CHL,Chile,2019,1417325
PER,CHL,Chile,2020,333718
PER,CHL,Chile,2021,36165
PER,ESP,Spain,2008,76357
PER,ESP,Spain,2009,81474
PER,ESP,Spain,2010,80738
