Abbreviation,Variable,Year,Value
CZE,Overnight visitors (tourists),2015,28324773.97
CZE,Overnight visitors (tourists),2016,30691278.34
CZE,Overnight visitors (tourists),2017,32561799.57
CZE,Overnight visitors (tourists),2018,31930562.4
CZE,Overnight visitors (tourists),2019,32287425.48
CZE,Overnight visitors (tourists),2020,27613436.79
CZE,Same-day visitors (excursionists),2011,56383433.09
CZE,Same-day visitors (excursionists),2012,47108771.75
CZE,Same-day visitors (excursionists),2013,46138097.02
CZE,Same-day visitors (excursionists),2014,46646168.28
CZE,Same-day visitors (excursionists),2015,49491997.49
CZE,Same-day visitors (excursionists),2016,54683542.27
CZE,Same-day visitors (excursionists),2017,57602696.61
CZE,Same-day visitors (excursionists),2018,53900707.44
CZE,Same-day visitors (excursionists),2019,53579786.35
CZE,Same-day visitors (excursionists),2020,35208597.99
DNK,Overnight visitors (tourists),2011,9860294
DNK,Overnight visitors (tourists),2012,9863296
DNK,Overnight visitors (tourists),2013,9907430
DNK,Overnight visitors (tourists),2014,14620276
DNK,Overnight visitors (tourists),2015,14953574
DNK,Overnight visitors (tourists),2016,15207991.62
DNK,Overnight visitors (tourists),2017,16333110.62
DNK,Overnight visitors (tourists),2018,16618961.03
DNK,Overnight visitors (tourists),2019,17794182.66
DNK,Overnight visitors (tourists),2020,19341386.3
DNK,Overnight visitors (tourists),2021,23414246.3
DNK,Same-day visitors (excursionists),2011,35778720
DNK,Same-day visitors (excursionists),2012,35778720
DNK,Same-day visitors (excursionists),2013,35778720
DNK,Same-day visitors (excursionists),2014,43079775.35
DNK,Same-day visitors (excursionists),2015,42010302.67
DNK,Same-day visitors (excursionists),2016,49157490
DNK,Same-day visitors (excursionists),2017,48555067.09
DNK,Same-day visitors (excursionists),2018,46540841.49
DNK,Same-day visitors (excursionists),2019,50106946
DNK,Same-day visitors (excursionists),2020,44873527.81
DNK,Same-day visitors (excursionists),2021,42228863.21
FIN,Overnight visitors (tourists),2011,8103982
FIN,Overnight visitors (tourists),2012,8109244
FIN,Overnight visitors (tourists),2013,8043589
FIN,Overnight visitors (tourists),2014,7928746
FIN,Overnight visitors (tourists),2015,8112802
FIN,Overnight visitors (tourists),2016,8319180
FIN,Overnight visitors (tourists),2017,8614140
FIN,Overnight visitors (tourists),2018,8742953
FIN,Overnight visitors (tourists),2019,9136439
FIN,Overnight visitors (tourists),2020,6446605
FIN,Overnight visitors (tourists),2021,8167713
FIN,Overnight visitors (tourists),2011,35561000
FIN,Overnight visitors (tourists),2012,30915000
FIN,Overnight visitors (tourists),2013,30479000
FIN,Overnight visitors (tourists),2014,28850000
FIN,Overnight visitors (tourists),2015,29160000
FIN,Overnight visitors (tourists),2016,29790000
FIN,Overnight visitors (tourists),2017,30160000
FIN,Overnight visitors (tourists),2018,29130000
FIN,Overnight visitors (tourists),2019,29320000
FIN,Overnight visitors (tourists),2020,23340000
FIN,Overnight visitors (tourists),2021,29380000
FIN,Same-day visitors (excursionists),2018,16160000
FIN,Same-day visitors (excursionists),2021,31920000
FRA,Overnight visitors (tourists),2011,198784000
FRA,Overnight visitors (tourists),2012,198465882
FRA,Overnight visitors (tourists),2013,197241628
FRA,Overnight visitors (tourists),2014,196232021
FRA,Overnight visitors (tourists),2015,191643914
FRA,Overnight visitors (tourists),2016,187942430
FRA,Overnight visitors (tourists),2017,191636263.3
FRA,Overnight visitors (tourists),2018,189755192.7
FRA,Overnight visitors (tourists),2019,207624151
FRA,Overnight visitors (tourists),2020,152119298
FRA,Overnight visitors (tourists),2021,187321001
FRA,Same-day visitors (excursionists),2011,77968000
FRA,Same-day visitors (excursionists),2012,70207000
FRA,Same-day visitors (excursionists),2013,67940000
FRA,Same-day visitors (excursionists),2014,67627300
FRA,Same-day visitors (excursionists),2015,68393723
FRA,Same-day visitors (excursionists),2016,67555157
FRA,Same-day visitors (excursionists),2017,84900826.94
FRA,Same-day visitors (excursionists),2018,78397005.49
FRA,Same-day visitors (excursionists),2019,91690902
FRA,Same-day visitors (excursionists),2020,60427842
FRA,Same-day visitors (excursionists),2021,64919075
