Abbreviation,Country_Arrivel,Year,Value
MAR,France,2014,1798190
MAR,France,2015,1563568
MAR,France,2016,1449757
MAR,France,2017,1614011
MAR,France,2018,1844397
MAR,France,2019,1990813
MAR,France,2020,412179
MAR,France,2021,493933
MAR,United Kingdom,2011,352141
MAR,United Kingdom,2012,357347
MAR,United Kingdom,2013,403325
MAR,United Kingdom,2014,476550
MAR,United Kingdom,2015,504475
MAR,United Kingdom,2016,458561
MAR,United Kingdom,2017,486262
MAR,United Kingdom,2018,510516
MAR,United Kingdom,2019,551499
MAR,United Kingdom,2020,113258
MAR,United Kingdom,2021,56435
PER,Argentina,2011,147403
PER,Argentina,2012,158950
PER,Argentina,2013,155145
PER,Argentina,2014,155931
PER,Argentina,2015,170960
PER,Argentina,2016,175488
PER,Argentina,2017,205465
PER,Argentina,2018,216041
PER,Argentina,2019,214608
PER,Argentina,2020,45092
PER,Argentina,2021,14049
PER,Bolivia,2011,88042
PER,Bolivia,2012,101546
PER,Bolivia,2013,111983
PER,Bolivia,2014,126689
PER,Bolivia,2015,128943
PER,Bolivia,2016,136805
PER,Bolivia,2017,146660
PER,Bolivia,2018,158974
PER,Bolivia,2019,188642
PER,Bolivia,2020,52445
PER,Bolivia,2021,4340
PER,Brazil,2011,117537
PER,Brazil,2012,126085
PER,Brazil,2013,143538
PER,Brazil,2014,147875
PER,Brazil,2015,148312
PER,Brazil,2016,148296
PER,Brazil,2017,173753
PER,Brazil,2018,177711
PER,Brazil,2019,193898
PER,Brazil,2020,34446
PER,Brazil,2021,10542
PER,Chile,2011,741717
PER,Chile,2012,806929
PER,Chile,2013,886485
PER,Chile,2014,903793
PER,Chile,2015,984584
PER,Chile,2016,1055880
PER,Chile,2017,1101055
PER,Chile,2018,1159188
PER,Chile,2019,1196234
PER,Chile,2020,288397
PER,Chile,2021,36744
PER,United States,2011,411935
PER,United States,2012,447218
PER,United States,2013,487328
PER,United States,2014,514227
PER,United States,2015,545212
PER,United States,2016,586479
PER,United States,2017,598685
PER,United States,2018,641280
PER,United States,2019,656991
PER,United States,2020,127555
PER,United States,2021,177000
PER,Ecuador,2011,160841
PER,Ecuador,2012,176071
PER,Ecuador,2013,208358
PER,Ecuador,2014,223995
PER,Ecuador,2015,256127
PER,Ecuador,2016,318172
PER,Ecuador,2017,288987
PER,Ecuador,2018,293231
PER,Ecuador,2019,339486
PER,Ecuador,2020,66547
PER,Ecuador,2021,9869
PER,Colombia,2011,112816
PER,Colombia,2012,133975
PER,Colombia,2013,134725
PER,Colombia,2014,151876
PER,Colombia,2015,165384
PER,Colombia,2016,189754
PER,Colombia,2017,200812
PER,Colombia,2018,219452
PER,Colombia,2019,223943
PER,Colombia,2020,48950
PER,Colombia,2021,40952
PHL,Australia,2014,224784
PHL,Australia,2015,241187
PHL,Australia,2016,251098
PHL,China,2011,243137
PHL,China,2012,250883
PHL,China,2013,426352
PHL,China,2014,394951
PHL,China,2015,490841
PHL,China,2016,675663
PHL,Japan,2011,375496
PHL,Japan,2012,412474
PHL,Japan,2013,433705
PHL,Japan,2014,463744
PHL,Japan,2015,495662
PHL,Japan,2016,535238
PHL,Korea,2011,925204
PHL,Korea,2012,1031155
PHL,Korea,2013,1170000
PHL,Korea,2014,1175472
PHL,Korea,2015,1339678
PHL,Korea,2016,1475081
PHL,Chinese Taipei,2011,181738
PHL,Chinese Taipei,2012,216511
PHL,Chinese Taipei,2013,139099
PHL,Chinese Taipei,2015,177670
PHL,Chinese Taipei,2016,229303
PHL,United States,2011,624527
PHL,United States,2012,652626
PHL,United States,2013,674564
PHL,United States,2014,722750
PHL,United States,2015,779217
PHL,United States,2016,869463
RUS,China,2014,873792
RUS,China,2015,1121536
RUS,China,2016,1288720
RUS,China,2017,1478212
RUS,China,2018,1690186
RUS,China,2019,1882820
RUS,Germany,2014,583824
RUS,Germany,2015,553493
RUS,Germany,2016,566434
RUS,Germany,2017,580366
RUS,Germany,2018,645157
RUS,Germany,2019,689966
RUS,Finland,2014,1380179
RUS,Finland,2015,1415853
RUS,Finland,2016,1319030
RUS,Finland,2017,1016738
RUS,Finland,2018,949796
RUS,Finland,2019,895931
RUS,Poland,2014,1772336
RUS,Poland,2015,1725157
RUS,Poland,2016,1017462
RUS,Poland,2017,714282
RUS,Poland,2018,682229
RUS,Poland,2019,641174
RUS,Ukraine,2014,8435654
RUS,Ukraine,2015,8911705
RUS,Ukraine,2016,8569264
RUS,Ukraine,2017,8722832
RUS,Ukraine,2018,8202273
RUS,Ukraine,2019,7760199
ZAF,United Kingdom,2011,420000
ZAF,United Kingdom,2012,438000
ZAF,United Kingdom,2013,437000
ZAF,United Kingdom,2014,402000
ZAF,United Kingdom,2015,407000
ZAF,United Kingdom,2016,448000
ZAF,United Kingdom,2017,448000
ZAF,United Kingdom,2018,431000
ZAF,United Kingdom,2019,436000
ZAF,United Kingdom,2020,132000
ZAF,United Kingdom,2021,46000
ZAF,Lesotho,2011,1527000
ZAF,Lesotho,2012,1618000
ZAF,Lesotho,2013,1461000
ZAF,Lesotho,2014,1502000
ZAF,Lesotho,2015,1395000
ZAF,Lesotho,2016,1757000
ZAF,Lesotho,2017,1747000
ZAF,Lesotho,2018,1739000
ZAF,Lesotho,2019,1563000
ZAF,Lesotho,2020,449000
ZAF,Lesotho,2021,355000
ZAF,Mozambique,2011,1077000
ZAF,Mozambique,2012,1104000
ZAF,Mozambique,2013,1117000
ZAF,Mozambique,2014,1283000
ZAF,Mozambique,2015,1200000
ZAF,Mozambique,2016,1268000
ZAF,Mozambique,2017,1339000
ZAF,Mozambique,2018,1361000
ZAF,Mozambique,2019,1333000
ZAF,Mozambique,2020,423000
ZAF,Mozambique,2021,523000
ZAF,Swaziland,2011,700000
ZAF,Swaziland,2012,769000
ZAF,Swaziland,2013,836000
ZAF,Swaziland,2014,918000
ZAF,Swaziland,2015,838000
ZAF,Swaziland,2016,894000
ZAF,Swaziland,2017,877000
ZAF,Swaziland,2018,884000
ZAF,Swaziland,2019,918000
ZAF,Swaziland,2020,215000
ZAF,Swaziland,2021,178000
ZAF,Zimbabwe,2011,1553000
ZAF,Zimbabwe,2012,1848000
ZAF,Zimbabwe,2013,1935000
ZAF,Zimbabwe,2014,2144000
ZAF,Zimbabwe,2015,1901000
ZAF,Zimbabwe,2016,2029000
ZAF,Zimbabwe,2017,2040000
ZAF,Zimbabwe,2018,2209000
ZAF,Zimbabwe,2019,2259000
ZAF,Zimbabwe,2020,685000
ZAF,Zimbabwe,2021,411000
ZAF,Botswana,2011,478000
ZAF,Botswana,2012,452000
ZAF,Botswana,2013,537000
ZAF,Botswana,2014,556000
ZAF,Botswana,2015,594000
ZAF,Botswana,2016,680000
ZAF,Botswana,2017,681000
ZAF,Botswana,2018,689000
ZAF,Botswana,2019,668000
ZAF,Botswana,2020,129000
ZAF,Botswana,2021,103000
IRL,Other Europe,2011,1382000
IRL,Other Europe,2012,1415000
IRL,Other Europe,2013,1461000
IRL,Other Europe,2014,1521000
IRL,Other Europe,2015,1787000
IRL,Other Europe,2016,1965000
IRL,Other Europe,2017,2081000
IRL,Other Europe,2018,2203000
IRL,Other Europe,2019,2321000
IDN,India,2011,181791
IDN,India,2012,196983
IDN,India,2013,231266
IDN,India,2014,267082
IDN,India,2015,306960
IDN,India,2016,422045
IDN,India,2017,536678
IDN,India,2018,595386
IDN,India,2019,657300
IDN,India,2020,111724
IDN,India,2021,6670
RUS,Armenia,2014,601409
RUS,Armenia,2015,552142
RUS,Armenia,2016,596041
RUS,Armenia,2017,584393
RUS,Armenia,2018,565807
RUS,Armenia,2019,550834
RUS,Azerbaijan,2014,818467
RUS,Azerbaijan,2015,856349
RUS,Azerbaijan,2016,898426
RUS,Azerbaijan,2017,876074
RUS,Azerbaijan,2018,893384
RUS,Azerbaijan,2019,910902
RUS,Kazakhstan,2014,3733319
RUS,Kazakhstan,2015,4711082
RUS,Kazakhstan,2016,3564152
RUS,Kazakhstan,2017,3484687
RUS,Kazakhstan,2018,3510144
RUS,Kazakhstan,2019,3563572
TUR,Netherlands,2011,1149360
TUR,Netherlands,2012,1402018
TUR,Netherlands,2013,1766268
TUR,Netherlands,2014,1750867
TUR,Netherlands,2015,1906967
TUR,Netherlands,2016,2203647
TUR,Netherlands,2017,2434146
TUR,Netherlands,2018,2065948
TUR,Netherlands,2019,1989150
TUR,Netherlands,2020,271464
TUR,Netherlands,2021,645052
COL,Mexico,2017,171841
COL,Mexico,2018,182014
COL,Mexico,2019,198455
COL,Mexico,2020,52038
COL,Mexico,2021,54574
COL,Peru,2017,140905
COL,Peru,2018,151499
COL,Peru,2019,180664
COL,Peru,2020,48098
COL,Peru,2021,44417
ROU,Bulgaria,2011,797382
ROU,Bulgaria,2012,943501
ROU,Bulgaria,2013,1135567
ROU,Bulgaria,2014,1209059
ROU,Bulgaria,2015,1523660
ROU,Bulgaria,2016,1527103
ROU,Bulgaria,2017,1602964
ROU,Bulgaria,2018,1600224
ROU,Bulgaria,2019,1856947
ROU,Bulgaria,2020,1267193
ROU,Bulgaria,2021,1254167
ROU,Germany,2011,381336
ROU,Germany,2012,439219
ROU,Germany,2013,448344
ROU,Germany,2014,469867
ROU,Germany,2015,437723
ROU,Germany,2016,466481
ROU,Germany,2017,478924
ROU,Germany,2018,489364
ROU,Germany,2019,520718
ROU,Germany,2020,143476
ROU,Germany,2021,232153
ROU,Hungary,2011,1545502
ROU,Hungary,2012,1547014
ROU,Hungary,2013,1442567
ROU,Hungary,2014,1495242
ROU,Hungary,2015,1661938
ROU,Hungary,2016,1561548
ROU,Hungary,2017,1453550
ROU,Hungary,2018,1466301
ROU,Hungary,2019,1529429
ROU,Hungary,2020,481262
ROU,Hungary,2021,603203
ROU,Italy,2011,352310
ROU,Italy,2012,340138
ROU,Italy,2013,332355
ROU,Italy,2014,355229
ROU,Italy,2015,324029
ROU,Italy,2016,425095
ROU,Italy,2017,460469
ROU,Italy,2018,468409
ROU,Italy,2019,477211
ROU,Italy,2020,120564
ROU,Italy,2021,228164
ROU,Poland,2011,249731
ROU,Poland,2012,300794
ROU,Poland,2013,299724
ROU,Poland,2014,307932
ROU,Poland,2015,355389
ROU,Poland,2016,301680
ROU,Poland,2017,310995
ROU,Poland,2018,313583
ROU,Poland,2019,345286
ROU,Poland,2020,199065
ROU,Poland,2021,200890
ROU,Serbia,2011,244950
ROU,Serbia,2012,286291
ROU,Serbia,2013,318617
ROU,Serbia,2014,312277
ROU,Serbia,2015,324029
ROU,Serbia,2016,426741
ROU,Serbia,2017,507057
ROU,Serbia,2018,543115
ROU,Serbia,2019,576287
ROU,Serbia,2020,194705
ROU,Serbia,2021,225307
ROU,Ukraine,2011,648394
ROU,Ukraine,2012,739545
ROU,Ukraine,2013,793612
ROU,Ukraine,2014,716260
ROU,Ukraine,2015,823460
ROU,Ukraine,2016,1055344
ROU,Ukraine,2017,1207812
ROU,Ukraine,2018,1491351
ROU,Ukraine,2019,1754542
ROU,Ukraine,2020,663097
ROU,Ukraine,2021,1105215
ROU,Moldova,2011,1330322
ROU,Moldova,2012,1120272
ROU,Moldova,2013,995118
ROU,Moldova,2014,1277062
ROU,Moldova,2015,1632776
ROU,Moldova,2016,1917707
ROU,Moldova,2017,2051793
ROU,Moldova,2018,2330440
ROU,Moldova,2019,2522741
ROU,Moldova,2020,826722
ROU,Moldova,2021,1246871
TUR,Ukraine,2011,588364
TUR,Ukraine,2012,618453
TUR,Ukraine,2013,739454
TUR,Ukraine,2014,640626
TUR,Ukraine,2015,691335
TUR,Ukraine,2016,1029162
TUR,Ukraine,2017,1265687
TUR,Ukraine,2018,1371869
TUR,Ukraine,2019,1515123
TUR,Ukraine,2020,978647
TUR,Ukraine,2021,2049192
JPN,Nepal,2021,11648
JPN,Thailand,2020,219830
JPN,Thailand,2021,2758
JPN,Vietnam,2021,26586
ESP,Netherlands,2011,3898028
ESP,Netherlands,2012,4168341
ESP,Netherlands,2013,4874870
ESP,Netherlands,2014,5044539
ESP,Netherlands,2015,5009081
ESP,Netherlands,2016,5129025
ESP,Netherlands,2017,5826548
ESP,Netherlands,2018,5803535
ESP,Netherlands,2019,5530112
ESP,Netherlands,2020,1175330
ESP,Netherlands,2021,2048853
AUS,India,2011,149200
AUS,India,2012,164300
AUS,India,2013,176900
AUS,India,2014,200100
AUS,India,2015,235800
AUS,India,2016,262300
AUS,India,2017,302600
AUS,India,2018,357700
AUS,India,2019,399300
AUS,India,2020,84000
AUS,India,2021,13000
POL,France,2021,309000
USA,Peru,2011,174108
USA,Peru,2012,187882
USA,Peru,2013,231020
USA,Peru,2014,252394
USA,Peru,2015,287566
USA,Peru,2016,296633
USA,Peru,2017,287524
USA,Peru,2018,303980
USA,Peru,2019,331905
USA,Peru,2020,91917
USA,Peru,2021,404937
USA,Colombia,2011,504845
USA,Colombia,2012,598135
USA,Colombia,2013,789894
USA,Colombia,2014,891709
USA,Colombia,2015,861907
USA,Colombia,2016,852618
USA,Colombia,2017,841931
USA,Colombia,2018,942617
USA,Colombia,2019,944013
USA,Colombia,2020,270110
USA,Colombia,2021,1063659
USA,India,2011,696107
USA,India,2012,747833
USA,India,2013,905834
USA,India,2014,985667
USA,India,2015,1147693
USA,India,2016,1206771
USA,India,2017,1285466
USA,India,2018,1378035
USA,India,2019,1473517
USA,India,2020,335990
USA,India,2021,433305
USA,Ecuador,2011,213436
USA,Ecuador,2012,207642
USA,Ecuador,2013,265010
USA,Ecuador,2014,338724
USA,Ecuador,2015,375705
USA,Ecuador,2016,416109
USA,Ecuador,2017,418009
USA,Ecuador,2018,450857
USA,Ecuador,2019,456741
USA,Ecuador,2020,169366
USA,Ecuador,2021,407417
