Abbreviation,Country_Arrivel,Year,Value
KOR,China,2013,4326869
KOR,China,2014,6126865
KOR,China,2015,5984170
KOR,China,2016,8067722
KOR,China,2017,4169353
KOR,China,2018,4789512
KOR,China,2019,6023021
KOR,China,2020,686430
KOR,China,2021,170215
KOR,"Hong Kong, China",2011,280849
KOR,"Hong Kong, China",2012,360027
KOR,"Hong Kong, China",2013,400435
KOR,"Hong Kong, China",2014,558377
KOR,"Hong Kong, China",2015,523427
KOR,"Hong Kong, China",2016,650676
KOR,"Hong Kong, China",2017,658031
KOR,"Hong Kong, China",2018,683818
KOR,"Hong Kong, China",2019,694934
KOR,"Hong Kong, China",2020,88878
KOR,"Hong Kong, China",2021,1258
KOR,Japan,2011,3289051
KOR,Japan,2012,3518792
KOR,Japan,2013,2747750
KOR,Japan,2014,2280434
KOR,Japan,2015,1837782
KOR,Japan,2016,2297893
KOR,Japan,2017,2311447
KOR,Japan,2018,2948527
KOR,Japan,2019,3271706
KOR,Japan,2020,430742
KOR,Japan,2021,15265
KOR,Chinese Taipei,2011,428208
KOR,Chinese Taipei,2012,548233
KOR,Chinese Taipei,2013,544662
KOR,Chinese Taipei,2014,643683
KOR,Chinese Taipei,2015,518190
KOR,Chinese Taipei,2016,833465
KOR,Chinese Taipei,2017,925616
KOR,Chinese Taipei,2018,1115333
KOR,Chinese Taipei,2019,1260493
KOR,Chinese Taipei,2020,166716
KOR,Chinese Taipei,2021,4130
KOR,United States,2011,661503
KOR,United States,2012,697866
KOR,United States,2013,722315
KOR,United States,2014,770305
KOR,United States,2015,767613
KOR,United States,2016,866186
KOR,United States,2017,868881
KOR,United States,2018,967992
KOR,United States,2019,1044038
KOR,United States,2020,220417
KOR,United States,2021,204025
MEX,Canada,2011,1563146
MEX,Canada,2012,1571543
MEX,Canada,2013,1599425
MEX,Canada,2014,1676681
MEX,Canada,2015,1748531
MEX,Canada,2016,1781469
MEX,Canada,2017,1985084
MEX,Canada,2018,2155383
MEX,Canada,2019,2309528
MEX,Canada,2020,975697
MEX,Canada,2021,503589
MEX,Spain,2011,279530
MEX,Spain,2012,278812
MEX,Spain,2013,282255
MEX,Spain,2014,310123
MEX,Spain,2015,333306
MEX,Spain,2016,361498
MEX,Spain,2017,377346
MEX,Spain,2018,386257
MEX,Spain,2019,391738
MEX,Spain,2020,100023
MEX,Spain,2021,221225
MEX,France,2011,186778
MEX,France,2012,202855
MEX,France,2013,199866
MEX,France,2014,213863
MEX,France,2015,221957
MEX,France,2016,233901
MEX,France,2017,260821
MEX,France,2018,286848
MEX,France,2019,305384
MEX,France,2020,116008
MEX,France,2021,157082
MEX,United Kingdom,2011,330071
MEX,United Kingdom,2012,363142
MEX,United Kingdom,2013,414039
MEX,United Kingdom,2014,458932
MEX,United Kingdom,2015,505954
MEX,United Kingdom,2016,545055
MEX,United Kingdom,2017,563099
MEX,United Kingdom,2018,590945
MEX,United Kingdom,2019,581245
MEX,United Kingdom,2020,103889
MEX,United Kingdom,2021,125380
MEX,United States,2011,18956420
MEX,United States,2012,18658170
MEX,United States,2013,18939678
MEX,United States,2014,23399156
MEX,United States,2015,24093711
MEX,United States,2016,24261195
MEX,United States,2017,10340465
MEX,United States,2018,10496434
MEX,United States,2019,10511433
MEX,United States,2020,5151181
MEX,United States,2021,10239989
NZL,Australia,2011,1114026
NZL,Australia,2012,1114448
NZL,Australia,2013,1178272
NZL,Australia,2014,1210256
NZL,Australia,2015,1286992
NZL,Australia,2016,1351456
NZL,Australia,2017,1393488
NZL,Australia,2018,1411165
NZL,Australia,2019,1445050
NZL,Australia,2020,359781
NZL,Australia,2021,160248
NZL,China,2011,144673
NZL,China,2012,195856
NZL,China,2013,227696
NZL,China,2014,263312
NZL,China,2015,353168
NZL,China,2016,404064
NZL,China,2017,412240
NZL,China,2018,441176
NZL,China,2019,395379
NZL,China,2020,58508
NZL,China,2021,1644
NZL,United Kingdom,2011,226399
NZL,United Kingdom,2012,186608
NZL,United Kingdom,2013,188512
NZL,United Kingdom,2014,191584
NZL,United Kingdom,2015,200928
NZL,United Kingdom,2016,216864
NZL,United Kingdom,2017,244336
NZL,United Kingdom,2018,231568
NZL,United Kingdom,2019,225434
NZL,United Kingdom,2020,94255
NZL,United Kingdom,2021,6034
NZL,Japan,2011,67944
NZL,Japan,2012,70592
NZL,Japan,2013,72960
NZL,Japan,2014,79648
NZL,Japan,2015,85472
NZL,Japan,2016,98544
NZL,Japan,2017,98288
NZL,Japan,2018,96389
NZL,Japan,2019,94016
NZL,Japan,2020,25784
NZL,Japan,2021,561
NZL,United States,2011,178215
NZL,United States,2012,171888
NZL,United States,2013,195008
NZL,United States,2014,212736
NZL,United States,2015,234640
NZL,United States,2016,280432
NZL,United States,2017,315312
NZL,United States,2018,337778
NZL,United States,2019,348072
NZL,United States,2020,124818
NZL,United States,2021,5153
POL,Belarus,2011,1220000
POL,Belarus,2012,1620000
POL,Belarus,2013,1530000
POL,Belarus,2014,811000
POL,Belarus,2015,801000
POL,Belarus,2016,715000
POL,Belarus,2017,763000
POL,Belarus,2018,793000
POL,Belarus,2019,807000
POL,Belarus,2020,391000
POL,Belarus,2021,490000
POL,Germany,2011,4590000
POL,Germany,2012,4800000
POL,Germany,2013,5280000
POL,Germany,2014,5743000
POL,Germany,2015,6012000
POL,Germany,2016,6288000
POL,Germany,2017,6504000
POL,Germany,2018,6704000
POL,Germany,2019,7067000
POL,Germany,2020,3426000
POL,Germany,2021,3630000
POL,United Kingdom,2014,664000
POL,United Kingdom,2015,753000
POL,United Kingdom,2016,797000
POL,United Kingdom,2017,851000
